Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
45,Battle of Wadi (1916),https://en.wikipedia.org/wiki/Battle_of_the_Wadi,13-Jan-16,13-Jan-16,"Hanna defile, 3.5 miles (5.6 km) east of Sheikh Sa'ad, Mesopotamia, present-day Iraq",Ottoman victory,"British Empire

 India
 United Kingdom","Ottoman Empire

 German Empire (military commanders)","19,000","20,000","1,600 dead or wounded,numerous captured[1]","527 casualties[1] unknown, estimated minor",1/13/1916,1/13/1916,{'dead': [1600.0]},{'casualties': [527.0]},{'troops': [19000.0]},{'troops': [20000.0]}
46,Battle of the San river (1914),https://en.wikipedia.org/wiki/Battle_of_the_San_river_(1914),22 September-23 October [O.S. 5 October,4 November] 1914,"Galicia, Austria-Hungary (Modern day Ukraine)",Russian victory[1]  The Siege of Przemysl is started,Austria-Hungary German Empire,Russian Empire,"582,466[2][c]1,076 machine guns, 3,058 guns","264,426[d]679 machine guns, 1,139 guns[3]","240,000[4][5]

110,900 dead and captured","126,000[6]

51,060 killed and captured",9/22/1914,10/23/1914,{'dead': [110900.0]},{'killed': [51060.0]},"{'machine': [5824661076.0], 'guns': [3058.0]}","{'machine': [264426679.0], 'guns': [1139.0]}"
47,Battle of Robat Karim,https://en.wikipedia.org/wiki/Battle_of_Robat_Karim,27 December [O.S. 9 December] 1915[1],27 December [O.S. 9 December] 1915[1],"Robat Karim, Tehran Province, Iran35°28′55″N 51°04′51″E﻿ / ﻿35.48194°N 51.08083°E﻿ / 35.48194; 51.08083",Russian victory,"Russian Empire

Armenian Volunteers",Qajar Iran 1915,6682 guns[2],"2,000[3]",Few,245 killed[4],12/27/1915,12/27/1915,{},{'killed': [245.0]},{'guns': [6682.0]},{'troops': [2000.0]}
48,Battle of Limanowa,https://en.wikipedia.org/wiki/Battle_of_Limanowa,1,13-Dec-14,"Galicia, Carpathian Mountains",Central Powers victory,Austria-Hungary Germany,Russian Empire,"272,000750 machine guns1,800 guns[1]","282,736773 machine guns1,493 guns[2]","106,472[3]","110,000[4] to 144,648[5]",12/1/1914,12/13/1914,{},{'to': [110000.0]},"{'machine': [272000750.0], 'guns': [1800.0]}","{'machine': [282736773.0], 'guns': [1493.0]}"
49,Battle of Dibrivka,https://en.wikipedia.org/wiki/Battle_of_Dibrivka,30-Sep-18,30-Sep-18,"Dibrivka, Pokrovske, Oleksandrivsky, Katerynoslav, Ukraine47°58′19″N 36°28′20″E﻿ / ﻿47.97194°N 36.47222°E﻿ / 47.97194; 36.47222",Insurgent victory  Insurgent movement extends throughout Katerynoslav Subsequent reprisals against each other by the Central Powers and insurgents,"Central Powers

 Austria-Hungary
 Ukrainian State",Anarchists,500 Austrians[1]200 Haydamaks[2],30 insurgents[1],620 killed80 captured,Unknown,9/30/1918,9/30/1918,"{'killed': [620.0], 'captured': [80.0]}",{},"{'austrians': [500.0], 'haydamaks': [200.0]}",{'insurgents': [30.0]}
50,Battle of Loos,https://en.wikipedia.org/wiki/Battle_of_Loos,25-Sep,8-Oct-15,"Loos, France50°27′30″N 02°47′39″E﻿ / ﻿50.45833°N 2.79417°E﻿ / 50.45833; 2.79417",German victory,"British Empire

 India
 United Kingdom",German Empire,6 divisions,3 divisions,"59,247","c. 26,000",9/25/1915,10/8/1915,{},{},{'divisions': [6.0]},{'divisions': [3.0]}
51,Battle of the Frontiers,https://en.wikipedia.org/wiki/Battle_of_the_Frontiers,7-Aug,6-Sep-14,"Lorraine, French and Belgian Ardennes49°00′N 06°00′E﻿ / ﻿49.000°N 6.000°E﻿ / 49.000; 6.000",German victory,France Belgium United Kingdom,Germany,62 divisions[1] Belgium 6 divisions[1] 6 divisions[1],68 divisions[1],,,8/7/1914,9/6/1914,{},{},"{'divisions': [62.0, 6.0, 6.0]}",{'divisions': [68.0]}
52,Battle of Slatina,https://en.wikipedia.org/wiki/Battle_of_Slatina,23,27-Nov-16,"Slatina and surrounding area, Romania",Romanian strategic victory,Romania,German Empire,,,Unknown,Unknown,11/23/1916,11/27/1916,{},{},{},{}
53,Battle for Zavislensky bridgehead,https://en.wikipedia.org/wiki/Second_Battle_of_the_Vistula_River,27-Feb,21-Mar-15,"Near Vistula, Congress Poland, Russian Empire (present-day Poland)",Russian victory,German Empire,Russian Empire,"only combat troops:[1] 75,000–80,000 men 280 machine guns 504 guns","only combat troops:[2] 205,962 men  428 machine guns 650 guns","20,475[3]–40,000[4]","46,965[5][6]",2/27/1915,3/21/1915,{},{},"{'troops': [75000.0, 80000.0], 'machine': [280.0], 'guns': [504.0]}","{'troops': [205962.0], 'machine': [428.0], 'guns': [650.0]}"
54,Battle of Ambos Nogales,https://en.wikipedia.org/wiki/Battle_of_Ambos_Nogales,27-Aug-18,27-Aug-18,"Nogales, Arizona, United StatesNogales, Sonora, Mexico31°19′58″N 110°56′32″W﻿ / ﻿31.3328°N 110.942224°W﻿ / 31.3328; -110.942224",American victory[1][2]  Binational cease-fire arranged Permanent border wall established in Ambos Nogales,United States,MexicoAlleged: Germany Russia,~800[3],Unknown,"5 soldiers, 2 civilians killed28 soldiers, several civilians wounded","Mexico:Up to 28-30 soldiers, about 100 civilians killed; 129 new graves were countedAbout 300 total woundedAlleged:2 German soldiers killed[4]",8/27/1918,8/27/1918,"{'soldiers': [5.0, 28.0], 'civilians': [2.0]}","{'total': [300.0, 300.0], 'soldiers': [30.0], 'civilians': [100.0], 'new': [129.0], 'german': [2.0]}",{'troops': [800.0]},{}
55,Kosovo offensive (1915),https://en.wikipedia.org/wiki/Battle_of_Kosovo_(1915),10,24-Nov-15,"Kosovo, Southeastern Serbia42°22′56.69″N 19°58′51.29″E﻿ / ﻿42.3824139°N 19.9809139°E﻿ / 42.3824139; 19.9809139",Central Powers victory,"Germany
 Austria-Hungary
 Bulgaria",Serbia,"Army Group Mackensen

 11th Army
 3rd army
 1st Army

 Northern Operations Group of Second Army
156,000 Austro-Germans
(79,000 combatants, 372 cannons and 220 machine guns)[1]","130,000[a] to 150,000[3]",,,11/10/1915,11/24/1915,{},{},"{'austro': [156000.0], 'combatants': [79000.0], 'cannons': [372.0], 'machine': [220.0]}",{'to': [130000.0]}
56,Battle of Rarańcza,https://en.wikipedia.org/wiki/Battle_of_Rara%C5%84cza,15-Feb,"16, 1918","Near Rarańcza (Ridkivtsi), Bukovina",Polish victory[1],Polish Legionnaires,Austria-Hungary,"over 2,000[2]",Unknown,Heavy[1] or 16 dead and 900 captive[2],Unknown,2/15/1918,2/16/1918,"{'dead': [16.0], 'captive': [900.0]}",{},{},{}
57,Battle of Le Cateau,https://en.wikipedia.org/wiki/Battle_of_Le_Cateau,26-Aug-14,26-Aug-14,"Le Cateau-Cambrésis, France50°06′15″N 03°32′40″E﻿ / ﻿50.10417°N 3.54444°E﻿ / 50.10417; 3.54444",German victory,German Empire,United Kingdom,23 infantry battalions18 cavalry regiments (9 at half strength)6 divisional cavalry squadrons162 guns (27 batteries)84 machine-guns,40 infantry battalions12 cavalry regiments2 divisional cavalry squadrons246 guns (41 batteries)c. 80 machine-guns,"2,900","7,812 (700 killed, 2,600 captured)38 guns",8/26/1914,8/26/1914,{},"{'killed': [700.0], 'captured': [2600.0], 'guns': [38.0]}","{'infantry': [23.0], 'cavalry': [18.0], 'at': [9.0], 'divisional': [6.0], 'guns': [162.0], 'batteries': [27.0], 'machine': [84.0]}","{'infantry': [40.0], 'cavalry': [12.0], 'divisional': [2.0], 'guns': [246.0], 'batteries': [41.0], 'machine': [80.0]}"
58,Battle of Dobro Pole,https://en.wikipedia.org/wiki/Battle_of_Dobro_Pole,15,18-Sep-18,Dobro Pole (present day Greece and North Macedonia)41°02′06″N 21°53′06″E﻿ / ﻿41.035°N 21.885°E﻿ / 41.035; 21.885,Allied victory,"Allied Powers:
 France
 Serbia
 Greece","Central Powers:
 Bulgaria
 Germany","3 divisions
 2 corps
 3 divisions
566 guns","1 army
158 artillery pieces","1,850 dead
 200 dead
 158 dead","2,689 dead
3,000 captured
50 artillery pieces",9/15/1918,9/18/1918,"{'dead': [1850.0, 200.0, 158.0]}","{'dead': [2689.0], 'captured': [3000.0], 'artillery': [50.0]}","{'divisions': [3.0, 3.0], 'corps': [2.0], 'guns': [566.0]}","{'army': [1.0], 'artillery': [158.0]}"
59,First Battle of the Marne,https://en.wikipedia.org/wiki/First_Battle_of_the_Marne,5,14-Sep-14,"Marne River near Brasles, east of Paris, France49°1′N 3°23′E﻿ / ﻿49.017°N 3.383°E﻿ / 49.017; 3.383",Allied victory,France United Kingdom,Germany,"1,080,000[1]64 French divisions6 British divisions","750,000[1]–900,000[2]51 German divisions","250,000 killed or wounded[2]  12,733 killed or wounded[3]

incl. c. 45,000 killed[4]
c. 173,000 wounded
c. 50,500 captured... see § Casualties","74,849 casualties[4]

10,602 killed
16,815 missing
47,432 wounded
298,000 casualties[2]
260,000 killed or wounded
38,000 captured... see § Casualties",9/5/1914,9/14/1914,"{'killed': [250000.0, 12733.0, 45000.0], 'wounded': [173000.0], 'captured': [50500.0]}","{'casualties': [74849.0, 298000.0], 'killed': [10602.0, 260000.0], 'missing': [16815.0], 'wounded': [47432.0], 'captured': [38000.0]}","{'french': [108000064.0], 'british': [6.0]}","{'german': [750000.0, 90000051.0]}"
60,Battle of Malka Nidzhe,https://en.wikipedia.org/wiki/Battle_of_Malka_Nidzhe,12,14-Sep-16,"Malka Nidzhe, Gornichevo, Macedonia",Entente victory,"France
 Serbia
 Russia",Bulgaria,Unknown,"8,127
56 guns
74 machine guns",Unknown,"1,683
34 guns lost",9/12/1916,9/14/1916,{},{'guns': [34.0]},{},"{'guns': [56.0], 'machine': [74.0]}"
61,First Battle of Krithia,https://en.wikipedia.org/wiki/First_Battle_of_Krithia,28-Apr-15,28-Apr-15,"Helles, Gallipoli, Adrianople Vilayet, Ottoman Empire",Ottoman victory,United Kingdom France,Ottoman Empire,"19 battalions, 13,500 men",9 battalions,"British: c. 2,000 killedFrench: 1,001 killed","2,378 killed",4/28/1915,4/28/1915,"{'killedfrench': [2000.0], 'killed': [1001.0]}",{'killed': [2378.0]},"{'battalions': [19.0], 'troops': [13500.0]}",{'battalions': [9.0]}
62,Siege of Kut,https://en.wikipedia.org/wiki/First_Battle_of_Kut,7-Dec-15,29-Apr-16,"Kut-al-Amara, Mesopotamia (modern Iraq)32°30′20″N 45°49′29″E﻿ / ﻿32.50556°N 45.82472°E﻿ / 32.50556; 45.82472",Ottoman victory,United Kingdom,Ottoman Empire,"25,000–45,000 besieged in Kut","25,000[1]–80,000[2]",Entire garrison[a],"10,000 men[5]",12/7/1915,4/29/1916,{},{'men': [10000.0]},"{'besieged': [25000.0, 45000.0]}",{}
63,Battle of the Ancre,https://en.wikipedia.org/wiki/Battle_of_the_Ancre,13,18-Nov-16,"North central Somme Département, France50°4′N 2°42′E﻿ / ﻿50.067°N 2.700°E﻿ / 50.067; 2.700",British victory,United Kingdom France,Germany,"12 divisions, 1 brigade",4 divisions,"c. 22,000","1–18 November, c. 45,000 including 7,000 prisoners.",11/13/1916,11/18/1916,{},"{'november': [18.0], 'including': [45000.0], 'prisoners': [7000.0]}","{'divisions': [12.0], 'brigade': [1.0]}",{'divisions': [4.0]}
64,Battle of Kostiuchnówka,https://en.wikipedia.org/wiki/Battle_of_Kostiuchn%C3%B3wka,4-Jul,"7, 1916",Kostiuchnówka (Kostyukhnivka)51°20′35″N 25°45′35″E﻿ / ﻿51.34306°N 25.75972°E﻿ / 51.34306; 25.75972,Inconclusive,Austria-Hungary(Polish Legions),Russian Empire,"5,500[1]–7,300[2]","13,000[1] or more[2]","2,000[3]",Unknown,7/4/1916,7/7/1916,{},{},{},{'or': [13000.0]}
65,Battle of the Ardennes,https://en.wikipedia.org/wiki/Battle_of_the_Ardennes,21,23-Aug-14,"Ardennes region, Belgian–French frontier50°15′N 5°40′E﻿ / ﻿50.250°N 5.667°E﻿ / 50.250; 5.667",German victory,France,Germany,Third Army Fourth Army,4th Army5th Army,"42,557","14,940",8/21/1914,8/23/1914,{},{},{},{}
66,Battle of Cape Sarych,https://en.wikipedia.org/wiki/Battle_of_Cape_Sarych,18 November [O.S. 5 November] 1914,18 November [O.S. 5 November] 1914,"off Cape Sarych, Crimea, Black Sea",Inconclusive[1],Russian Empire,Ottoman Empire,5 pre-dreadnought battleships,1 battlecruiser,34 killed24 wounded1 battleship damaged,13 to 115 killed58 wounded[a]1 battlecruiser damaged,11/18/1914,11/18/1914,"{'killed': [34.0], 'wounded': [24.0], 'battleship': [1.0]}","{'to': [13.0], 'killed': [115.0], 'wounded': [58.0], 'battlecruiser': [1.0]}",{'pre': [5.0]},{'battlecruiser': [1.0]}
67,Battle of Caporetto,https://en.wikipedia.org/wiki/Twelfth_Battle_of_the_Isonzo,24-Oct,19-Nov-17,"Kobarid, Austria-Hungary(present day Slovenia)46°12′52″N 13°38′33″E﻿ / ﻿46.21444°N 13.64250°E﻿ / 46.21444; 13.64250",Central Powers victory,Austria-Hungary Germany,Italy,"353,000 soldiers, 2,518 artillery pieces [1]","257,400 soldiers, 1,342 artillery pieces [1]","70,000","13,000 dead30,000 wounded265,000–275,000 captured


300,000 stragglers50,000 deserters3,152 artillery pieces1,712 mortars3,000 machine guns300,000 rifles",10/24/1917,11/19/1917,{},"{'dead': [13000.0], 'wounded': [30000.0], 'captured': [275000.0], 'stragglers': [300000.0], 'deserters': [50000.0], 'artillery': [3152.0], 'mortars': [1712.0], 'machine': [3000.0], 'rifles': [300000.0]}","{'soldiers': [353000.0], 'artillery': [2518.0]}","{'soldiers': [257400.0], 'artillery': [1342.0]}"
68,Battle of Mărășești,https://en.wikipedia.org/wiki/Battle_of_M%C4%83r%C4%83%C8%99e%C8%99ti,6-Aug,3-Sep-17,"Mărășești, Vrancea, Eastern Romania",Strategic Allied victory,Allied Powers: Romania  Russia,Central Powers: Germany  Austria-Hungary,Romanian78 battalions58 cavalry squadrons150 batteries (36 heavy)10 trench mortars7 anti-aircraft guns12 air squadronsRussian:84 battalions32 cavalry squadrons79 batteries (9 heavy),102 battalions10 cavalry squadrons213 batteries (31 heavy),"27,410 (5,125 killed, 9,818 missing, 12,467 wounded)[1]  25,650 (7,083 killed, 8,167 missing, 10,400 wounded)[1]Total: 53,060 (12,208 killed, 17,985 missing, 22,867 wounded)","60,000–65,000 casualties (killed, missing, wounded)[1]Total: 60,000+",8/6/1917,9/3/1917,"{'total': [53060.0], 'killed': [5125.0, 7083.0, 12208.0], 'missing': [9818.0, 8167.0, 17985.0], 'wounded': [12467.0, 10400.0, 22867.0]}","{'total': [60000.0], 'casualties': [65000.0]}","{'battalions': [78.0, 84.0], 'cavalry': [58.0, 32.0], 'batteries': [150.0, 79.0], 'heavy': [36.0, 9.0], 'trench': [10.0], 'anti': [7.0], 'air': [12.0]}","{'battalions': [102.0], 'cavalry': [10.0], 'batteries': [213.0], 'heavy': [31.0]}"
69,Third Battle of Gaza,https://en.wikipedia.org/wiki/Third_Battle_of_Gaza,1,2 November 1917(1 day),"Gaza, southern Palestine",Allied victory[1]  Ottoman garrison abandons Gaza on 7 November as a result of fighting during the Battle of Tel el Khuweilfe and the Battle of Hareira and Sheria,"British Empire

 Australia
 New Zealand
 India
 United Kingdom
 France Italy

 Arab Revolt","Ottoman Empire

 Germany (military commanders & air force)","10,000–35,913","4,500–8,000","2,696","1,000+ buried,300 captured",11/1/1917,11/2/1917,{},{'captured': [300.0]},{},{}
70,Battle of Monastir (1917),https://en.wikipedia.org/wiki/Battle_of_Monastir_(1917),12-Mar-17,26-May-17,"West and North of Monastir, Kingdom of Serbia (present-day North Macedonia)",Central Powers victory,"Bulgaria
 Germany",France,First Army 11th Army,5 French divisions,Unknown,"14,000 killed, wounded or sick[1]",3/12/1917,5/26/1917,{},{'killed': [14000.0]},{},{'french': [5.0]}
71,Battle of Oulu,https://en.wikipedia.org/wiki/Battle_of_Oulu,3-Feb-18,3-Feb-18,"Oulu, Finland",White victory,Finnish Whites,Finnish Reds Russian Garrison,"Around 1,200 Whites","Around 600 Reds1,200 Russians",33 in total,"26 Reds fell1 Russian fell500 Reds imprisoned1,000 Russians imprisoned",2/3/1918,2/3/1918,{'in': [33.0]},"{'reds': [26.0, 500.0], 'russian': [1.0], 'russians': [1000.0]}",{'whites': [1200.0]},"{'reds': [600.0], 'russians': [1200.0]}"
72,Second Battle of the Piave River,https://en.wikipedia.org/wiki/Second_Battle_of_the_Piave_River,15,23-Jun-18,"Piave, Italy45°49′50″N 12°12′34″E﻿ / ﻿45.83056°N 12.20944°E﻿ / 45.83056; 12.20944",Allied victory,Italy United Kingdom  France  United States,Austria-Hungary,"57 divisions:[1]

 900,000 in 52 divisions (1 Czechoslovak division)
 ~40,000 in 3 divisions
 25,000 in 2 divisionsTotal: 965,000
5,650 guns1,570 mortars676 aircraft","58 divisions:[1]

 946,000
6,833 artillery pieces","87,181:[2]8,396 dead30,603 wounded48,182 captured","118,042:[2]11,643 dead80,852 wounded25,547 captured",6/15/1918,6/23/1918,"{'dead': [8396.0], 'wounded': [30603.0], 'captured': [48182.0]}","{'dead': [11643.0], 'wounded': [80852.0], 'captured': [25547.0]}","{'total': [965000.0], 'divisions': [57.0, 52.0, 3.0], 'troops': [900000.0, 40000.0, 25000.0], 'czechoslovak': [1.0], 'divisionstotal': [2.0], 'guns': [5650.0], 'mortars': [1570.0], 'aircraft': [676.0]}","{'divisions': [58.0], 'artillery': [6833.0]}"
73,Battle of Komarów (1914),https://en.wikipedia.org/wiki/Battle_of_Komar%C3%B3w_(1914),26-Aug,2-Sep-14,"Komarów and Zamość, Russian Poland",Austro-Hungarian victory,Austria-Hungary,Russian Empire,"250,000 men, 474 or 456 guns[1]","147,000 men, 304 machine gun, and 516 or 456 guns[2]","40,000 casualties

20,000 killed and wounded
20,000 captured[3]","30,000–40,000 casualties

20,000–26 000 killed and wounded
10,000 prisoners and 150 guns captured[3]",8/26/1914,9/2/1914,"{'casualties': [40000.0], 'killed': [20000.0], 'captured': [20000.0]}","{'casualties': [40000.0], 'killed': [0.0], 'prisoners': [10000.0], 'guns': [150.0]}","{'troops': [250000.0], 'or': [474.0], 'guns': [456.0]}","{'troops': [147000.0], 'machine': [304.0], 'or': [516.0], 'guns': [456.0]}"
74,Battle of Länkipohja,https://en.wikipedia.org/wiki/Battle_of_L%C3%A4nkipohja,16-Mar-18,16-Mar-18,"Längelmäki, Finland61°44′09″N 24°47′44″E﻿ / ﻿61.73583°N 24.79556°E﻿ / 61.73583; 24.79556",White victory,Finnish Whites,Finnish Reds,"2,500","c. 1,000",37 killed,"20–60 killed in the battle,at least 70–100 executed",3/16/1918,3/16/1918,{'killed': [37.0]},"{'killed': [60.0], 'executed': [100.0]}",{'troops': [2500.0]},{}
75,Battle of Krivolak,https://en.wikipedia.org/wiki/Battle_of_Krivolak,21-Oct,22-Nov-15,"Krivolak, Kingdom of Serbia (present-day North Macedonia)41°31′38″N 22°07′15″E﻿ / ﻿41.5272°N 22.1208°E﻿ / 41.5272; 22.1208",Bulgarian victory,Bulgaria,France,1 army,3 divisions,"5,877","3,161
10 artillery pieces lost
12 machine guns lost
36 ammunition wagons captured",10/21/1915,11/22/1915,{},"{'artillery': [10.0], 'machine': [12.0], 'ammunition': [36.0]}",{'army': [1.0]},{'divisions': [3.0]}
76,Battle of Qurna,https://en.wikipedia.org/wiki/Battle_of_Qurna,3,9-Dec-14,"Qurna, Southern Iraq31°01′N 47°26′E﻿ / ﻿31.017°N 47.433°E﻿ / 31.017; 47.433",British-Indian victory,"British Empire

 India
 United Kingdom",Ottoman Empire,"2,100","1,000",281,"1,000",12/3/1914,12/9/1914,{},{},{'troops': [2100.0]},{'troops': [1000.0]}
77,Battle of Messines (1917),https://en.wikipedia.org/wiki/Battle_of_Messines_(1917),7,14-Jun-17,"Messines (Mesen), West Flanders, Belgium50°45′45″N 02°53′43″E﻿ / ﻿50.76250°N 2.89528°E﻿ / 50.76250; 2.89528",British victory,"United Kingdom

 Australia
 Canada
 New Zealand",Germany,12 divisions,5 divisions,"24,562","21,886 (21 May to 10 June) – 26,087 (7–14 June)",6/7/1917,6/14/1917,{},"{'may': [21.0], 'june': [10.0, 14.0]}",{'divisions': [12.0]},{'divisions': [5.0]}
78,Battle of Mons,https://en.wikipedia.org/wiki/Battle_of_Mons,23-Aug-14,23-Aug-14,"Mons, Belgium50°28′44.011″N 3°57′0.400″E﻿ / ﻿50.47889194°N 3.95011111°E﻿ / 50.47889194; 3.95011111",See Analysis section,United Kingdom,German Empire,"2 corps
1 cavalry division
1 cavalry brigade
300 guns","4 corps
3 cavalry divisions
600 guns","1,638","2,000–5,000",8/23/1914,8/23/1914,{},{},"{'corps': [2.0], 'cavalry': [1.0, 1.0], 'guns': [300.0]}","{'corps': [4.0], 'cavalry': [3.0], 'guns': [600.0]}"
79,Battle of Nablus (1918),https://en.wikipedia.org/wiki/Battle_of_Nablus_(1918),19,25-Sep-18,"from the Rafat salient in the Judean Hills to the Jordan Valley and the Dead Sea, north to Nablus and Jisr ed Damieh, and east to Es Salt and Amman",British and Arab victory,"British Empire

 United Kingdom
 India
 Australia
 New Zealand
 South Africa
 Arab Revolt",Ottoman Empire German Empire,,,,,9/19/1918,9/25/1918,{},{},{},{}
80,Eighth Battle of the Isonzo,https://en.wikipedia.org/wiki/Eighth_Battle_of_the_Isonzo,10,12-Oct-16,"Soča valley, Slovenia",Inconclusive,Italy,Austria-Hungary,20 divisions,14 divisions,"50,000–60,000 killed, wounded, missing or captured","38,000 killed, wounded, missing or captured",10/10/1916,10/12/1916,{'killed': [60000.0]},{'killed': [38000.0]},{'divisions': [20.0]},{'divisions': [14.0]}
81,Battle of Neuve Chapelle,https://en.wikipedia.org/wiki/Battle_of_Neuve_Chapelle,10,13-Mar-15,"Artois region, France50°35′06″N 02°46′39″E﻿ / ﻿50.58500°N 2.77750°E﻿ / 50.58500; 2.77750",See Analysis section,"British Empire

 Canada
 India
 United Kingdom",German Empire,4 divisions,2 divisions,"12,892c. 7,000 Britishc. 4,200 Indian","9–20 March: 8,500–10,000",3/10/1915,3/13/1915,"{'c': [12892.0], 'britishc': [7000.0], 'indian': [4200.0]}",{'march': [20.0]},{'divisions': [4.0]},{'divisions': [2.0]}
82,Battle of Hämeenlinna,https://en.wikipedia.org/wiki/Battle_of_H%C3%A4meenlinna,26-Apr-18,26-Apr-18,Hämeenlinna,German and White victory,German Empire Finnish Whites,Finnish Reds,Unknown,30+,Unknown,20 died in the combat[1]20+ civilian casualties,4/26/1918,4/26/1918,{},{'died': [20.0]},{},{}
83,Battle of Jerusalem,https://en.wikipedia.org/wiki/Battle_of_Jerusalem_(1917),17-Nov,"30 December 1917(1 month, 1 week and 6 days)","On the coast of the Mediterranean Sea north of Jaffa, into the Judean Hills and around Jerusalem31°46′35″N 35°13′39″E﻿ / ﻿31.77639°N 35.22750°E﻿ / 31.77639; 35.22750",British Empire victory,"British Empire

 Egypt
 Australia
 India
 New Zealand
 United Kingdom",Ottoman Empire German Empire,,,"18,000 (entire campaign)","25,000 (entire campaign)[1][2][3]",11/17/1917,12/30/1917,{},{},{},{}
84,Battle of Bir el Abd,https://en.wikipedia.org/wiki/Battle_of_Bir_el_Abd,9-Aug-16,9-Aug-16,Bir al-Abed,Ottoman victory[1],"British Empire

 British Raj
 Southern Rhodesia",Ottoman Empire German Empire,,,,,8/9/1916,8/9/1916,{},{},{},{}
85,Battle of Dogger Bank (1915),https://en.wikipedia.org/wiki/Battle_of_Dogger_Bank_(1915),24-Jan-15,24-Jan-15,"Dogger Bank, North Sea54°33′28″N 05°27′50″E﻿ / ﻿54.55778°N 5.46389°E﻿ / 54.55778; 5.46389",British victory,United Kingdom,Germany,5 battlecruisers  7 light cruisers  35 destroyers[1],3 battlecruisers  1 armoured cruiser  4 light cruisers  18 torpedo boats[1]  1 Zeppelin,47 killed and wounded  1 battlecruiser disabled  1 destroyer disabled[2],"1,034 killed and wounded  189 captured  1 armoured cruiser sunk  1 battlecruiser damaged[2]",1/24/1915,1/24/1915,"{'killed': [47.0], 'battlecruiser': [1.0], 'destroyer': [1.0]}","{'killed': [1034.0], 'captured': [189.0], 'armoured': [1.0], 'battlecruiser': [1.0]}","{'battlecruisers': [5.0], 'light': [7.0], 'destroyers': [35.0]}","{'battlecruisers': [3.0], 'armoured': [1.0], 'light': [4.0], 'torpedo': [18.0], 'zeppelin': [1.0]}"
86,Battle of Baku,https://en.wikipedia.org/wiki/Battle_of_Baku,26-Aug-18,14 September 1918[1],"Baku, Azerbaijan40°27′N 49°47′E﻿ / ﻿40.450°N 49.783°E﻿ / 40.450; 49.783",Ottoman–Azerbaijani victory,Ottoman Empire Azerbaijan,"Until 26 July: Baku Commune Russian SFSRFrom 26 July: Centrocaspian Dictatorship

 Armenian Revolutionary Federation
 United Kingdom","Islamic Army of the Caucasus14,000 infantry500 cavalry40 guns[1]","Baku Army20,000 infantry.[4]40 guns[1] Dunsterforce1,000 infantry1 artillery battery3 machine gun section3 armored cars2 Martinsyde G.100 planes[1] Bicherakhov detachment6,000[1]","2,000 killed/wounded[1]","5,000 killed/wounded 200 killed/wounded[1]",8/26/1918,9/14/1918,{'killed': [2000.0]},"{'killed': [5000.0, 200.0]}","{'infantry': [14000.0], 'cavalry': [500.0], 'guns': [40.0]}","{'infantry': [20000.0, 1000.0], 'guns': [40.0], 'artillery': [1.0], 'machine': [3.0], 'armored': [3.0], 'martinsyde': [2.0], 'planes': [100.0]}"
87,Battle of the Yser,https://en.wikipedia.org/wiki/Battle_of_the_Yser,16,31-Oct-14,"River Yser and Ieperlee, Belgium51°09′10″N 02°43′23″E﻿ / ﻿51.15278°N 2.72306°E﻿ / 51.15278; 2.72306",Allied victory,Belgium France United Kingdom,German Empire,"Belgium: 52,000 men[1]France: 6,600 men (1,450 infantry)[2]Britain: 3 monitorsauxiliary ships","60,000–85,000 men[1]","Belgium: 3,500 killed[3]15,000 wounded[3]",Germany: Heavy,10/16/1914,10/31/1914,"{'killed': [3500.0], 'wounded': [15000.0]}",{},"{'menfrance': [52000.0], 'troops': [6600.0], 'infantry': [1450.0], 'monitorsauxiliary': [3.0]}","{'troops': [60000.0, 85000.0]}"
88,Battle of Syniava,https://en.wikipedia.org/wiki/Battle_of_Syniava,13,15-May-15,"Stara Syniava, Austria-Hungary",Russian victory,Austria-Hungary,Russian Empire,"113,000",Unknown,"Heavy7,436 captured",Medium,5/13/1915,5/15/1915,{'captured': [7436.0]},{},{'troops': [113000.0]},{}
89,Battle of Ginchy,https://en.wikipedia.org/wiki/Battle_of_Ginchy,9-Sep-16,9-Sep-16,"Ginchy, France50°1′21.6″N 2°49′56.8″E﻿ / ﻿50.022667°N 2.832444°E﻿ / 50.022667; 2.832444",British victory,United Kingdom France,German Empire,3 divisions,c. 3 divisions,,,9/9/1916,9/9/1916,{},{},{'divisions': [3.0]},{'divisions': [3.0]}
90,Battle of Kämärä,https://en.wikipedia.org/wiki/Battle_of_K%C3%A4m%C3%A4r%C3%A4,27-Jan-18,27-Jan-18,"Kämärä, Kuolemajärvi, Finland",Red victory  White withdrawal Red train able to deliver vital war supplies,Finnish Whites,Finnish Reds,500,500–600,18 killed,30 killed,1/27/1918,1/27/1918,{'killed': [18.0]},{'killed': [30.0]},{'troops': [500.0]},{}
